cohort_date,n_stocks,portfolio_return_1m,spy_return_1m,alpha_1m,pct_winners_1m,portfolio_return_100d,spy_return_100d,alpha_100d,pct_winners_100d,portfolio_return_3m,spy_return_3m,alpha_3m,pct_winners_3m,portfolio_return_6m,spy_return_6m,alpha_6m,pct_winners_6m,portfolio_return_yearend,spy_return_yearend,alpha_yearend,pct_winners_yearend
2019-02-01,1,-1.54,3.32,-4.86,0.0,-14.51,8.56,-23.07,0.0,8.83,9.36,-0.53,100.0,-10.51,9.36,-19.87,0.0,13.79,21.44,-7.65,100.0
2019-03-01,3,2.56,2.38,0.18,66.7,13.47,8.49,4.98,66.7,-0.22,-1.4,1.18,66.7,19.9,5.31,14.59,66.7,21.86,16.95,4.91,66.7
2019-04-01,4,-1.67,2.09,-3.76,50.0,11.84,2.78,9.06,50.0,5.86,3.94,1.92,50.0,2.83,4.81,-1.98,50.0,7.73,14.23,-6.5,50.0
2019-05-01,4,-1.65,-5.67,4.02,25.0,17.55,3.16,14.39,50.0,20.1,2.42,17.68,100.0,11.7,4.89,6.81,50.0,18.5,11.89,6.61,100.0
2019-06-03,1,15.2,8.49,6.71,100.0,8.33,10.26,-1.93,100.0,15.81,7.03,8.78,100.0,28.68,15.56,13.12,100.0,34.19,18.92,15.27,100.0
2019-07-01,3,1.58,0.6,0.98,66.7,17.69,5.6,12.09,100.0,3.1,0.84,2.26,66.7,19.82,9.64,10.18,100.0,20.07,9.9,10.17,100.0
2019-08-01,6,1.5,-0.81,2.31,50.0,19.35,9.99,9.36,66.7,8.24,3.63,4.61,83.3,19.53,10.16,9.37,83.3,19.06,10.21,8.85,66.7
2019-09-03,3,0.12,-0.46,0.58,66.7,15.42,12.33,3.09,66.7,13.35,7.68,5.67,100.0,17.34,8.64,8.7,66.7,14.54,11.76,2.78,100.0
2019-10-01,3,5.57,3.72,1.85,100.0,-1.7,7.14,-8.84,66.7,12.28,10.3,1.98,100.0,-32.96,-15.15,-17.81,0.0,12.28,10.3,1.98,100.0
2019-11-01,7,0.82,1.11,-0.29,57.1,-31.17,-16.32,-14.85,0.0,3.42,8.02,-4.6,42.9,-20.36,-5.5,-14.86,0.0,4.08,5.65,-1.57,71.4
2019-12-02,5,5.14,4.76,0.38,60.0,-18.92,-6.89,-12.03,20.0,-10.13,0.89,-11.02,20.0,-0.73,1.26,-1.99,40.0,4.58,3.79,0.79,80.0
