cohort_date,n_stocks,portfolio_return_1m,spy_return_1m,alpha_1m,pct_winners_1m,portfolio_return_100d,spy_return_100d,alpha_100d,pct_winners_100d,portfolio_return_3m,spy_return_3m,alpha_3m,pct_winners_3m,portfolio_return_6m,spy_return_6m,alpha_6m,pct_winners_6m,portfolio_return_yearend,spy_return_yearend,alpha_yearend,pct_winners_yearend
2016-01-04,1,-5.05,-4.84,-0.21,0.0,19.84,4.68,15.16,100.0,20.89,2.1,18.79,100.0,9.23,4.75,4.48,100.0,66.67,13.59,53.08,100.0
2016-02-01,2,12.12,2.76,9.36,100.0,20.76,9.99,10.77,50.0,16.18,7.95,8.23,100.0,32.44,13.19,19.25,100.0,56.66,17.91,38.75,100.0
2016-03-01,2,10.06,4.28,5.78,100.0,20.52,10.8,9.72,100.0,13.58,6.47,7.11,100.0,33.42,11.37,22.05,100.0,40.32,15.25,25.07,100.0
2016-04-04,1,16.09,-0.04,16.13,100.0,26.63,6.17,20.46,100.0,16.92,2.31,14.61,100.0,43.75,5.95,37.8,100.0,29.92,10.14,19.78,100.0
2016-06-01,1,16.03,0.14,15.89,100.0,47.18,2.81,44.37,100.0,69.07,4.22,64.85,100.0,101.58,6.14,95.44,100.0,155.98,8.03,147.95,100.0
2016-07-01,1,13.76,2.68,11.08,100.0,28.81,5.61,23.2,100.0,21.12,3.56,17.56,100.0,26.0,7.65,18.35,100.0,26.0,7.65,18.35,100.0
2016-08-01,3,6.52,0.49,6.03,100.0,24.19,5.21,18.98,100.0,12.55,-1.53,14.08,66.7,28.53,6.03,22.5,100.0,24.06,4.17,19.89,100.0
2016-09-01,7,2.23,-0.24,2.47,42.9,13.43,6.65,6.78,85.7,2.58,1.51,1.07,42.9,20.6,10.55,10.05,100.0,9.49,3.95,5.54,71.4
2016-10-03,4,0.12,-2.21,2.33,50.0,21.1,10.53,10.57,100.0,8.03,5.0,3.03,100.0,28.88,10.25,18.63,100.0,6.65,4.2,2.45,100.0
2016-11-01,2,8.35,4.06,4.29,100.0,8.72,12.67,-3.95,100.0,17.78,8.58,9.2,100.0,17.72,14.31,3.41,100.0,11.3,6.56,4.74,100.0
2016-12-01,5,2.07,3.19,-1.12,60.0,20.09,9.78,10.31,80.0,15.82,8.9,6.92,100.0,19.5,12.26,7.24,60.0,1.15,2.4,-1.25,60.0
