rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
1,IESC,11.49,8.27,7.77,47.9,84.3,triple_bottom_breakout,2014-10-15 13:30:00,2015-06-29 13:30:00,2015-10-29 13:30:00,7.1,6.83,7.06,7.0,2.38,8.9,262,2015-12-16 14:30:00,11,29.1,,8.12,IES Holdings,S&P MidCap 400,US,0.5965333333333334,2016-01-04,11.489999771118164,10.90999984741211,-5.05,-4.84,-0.21,13.770000457763672,19.84,4.68,15.16,13.890000343322754,20.89,2.1,18.79,12.550000190734863,9.23,4.75,4.48,19.149999618530273,66.67,13.59,53.08
1,IESC,12.54,9.78,8.04,56.0,78.3,triple_bottom_breakout,2014-10-15 13:30:00,2015-06-29 13:30:00,2015-10-29 13:30:00,7.1,6.83,7.06,7.0,2.38,8.9,262,2015-12-16 14:30:00,30,40.9,,8.12,IES Holdings,S&P MidCap 400,US,0.6415333333333334,2016-02-01,12.539999961853027,13.779999732971191,9.89,2.76,7.13,11.9399995803833,-4.78,9.99,-14.77,13.0,3.67,7.95,-4.28,14.210000038146973,13.32,13.19,0.13,19.149999618530273,52.71,17.91,34.8
2,FN,25.09,23.22,20.39,23.1,65.0,triple_bottom_breakout,2014-03-14 13:30:00,2015-07-28 13:30:00,2015-10-02 13:30:00,18.81,17.71,17.88,18.13,3.73,22.67,392,2015-11-03 14:30:00,60,10.67,,4.17,Fabrinet,S&P MidCap 400,US,0.30105000000000004,2016-02-01,25.09000015258789,28.690000534057617,14.35,2.76,11.59,36.709999084472656,46.31,9.99,36.32,32.290000915527344,28.7,7.95,20.75,38.029998779296875,51.57,13.19,38.38,40.29999923706055,60.62,17.91,42.71
1,IESC,13.6,11.31,8.36,62.7,75.7,triple_bottom_breakout,2014-10-15 13:30:00,2015-06-29 13:30:00,2015-10-29 13:30:00,7.1,6.83,7.06,7.0,2.38,8.9,262,2015-12-16 14:30:00,50,52.81,,8.12,IES Holdings,S&P MidCap 400,US,0.6750333333333334,2016-03-01,13.600000381469727,14.670000076293945,7.87,4.28,3.59,14.869999885559082,9.34,10.8,-1.46,14.140000343322754,3.97,6.47,-2.5,17.729999542236328,30.37,11.37,19.0,19.149999618530273,40.81,15.25,25.56
2,FN,28.82,25.5,21.4,34.7,62.2,triple_bottom_breakout,2011-06-16 13:30:00,2015-07-28 13:30:00,2015-10-02 13:30:00,18.37,17.71,17.88,17.99,2.13,25.38,1081,2016-02-02 14:30:00,19,13.55,,8.7,Fabrinet,S&P MidCap 400,US,0.46495,2016-03-01,28.81999969482422,32.349998474121094,12.25,4.28,7.97,37.959999084472656,31.71,10.8,20.91,35.5,23.18,6.47,16.71,39.33000183105469,36.47,11.37,25.1,40.29999923706055,39.83,15.25,24.58
1,FN,31.02,28.15,22.59,37.3,60.1,triple_bottom_breakout,2011-06-16 13:30:00,2015-07-28 13:30:00,2015-10-02 13:30:00,18.37,17.71,17.88,17.99,2.13,25.38,1081,2016-02-02 14:30:00,42,22.22,,8.7,Fabrinet,S&P MidCap 400,US,0.5213,2016-04-04,31.020000457763672,36.0099983215332,16.09,-0.04,16.13,39.279998779296875,26.63,6.17,20.46,36.27000045776367,16.92,2.31,14.61,44.59000015258789,43.75,5.95,37.8,40.29999923706055,29.92,10.14,19.78
1,AMD,4.43,3.37,2.44,81.5,70.1,triple_bottom_breakout,2014-11-20 14:30:00,2015-03-26 13:30:00,2016-04-21 13:30:00,2.59,2.53,2.6,2.57,1.68,3.37,355,2016-04-22 13:30:00,27,31.45,,11.87,Advanced Micro Devices,S&P 500,US,0.8385333333333334,2016-06-01,4.429999828338623,5.139999866485596,16.03,0.14,15.89,6.519999980926514,47.18,2.81,44.37,7.489999771118164,69.07,4.22,64.85,8.930000305175781,101.58,6.14,95.44,11.34000015258789,155.98,8.03,147.95
1,IDXX,93.07,87.74,76.5,21.7,63.0,triple_bottom_breakout,2015-01-06 14:30:00,2015-12-10 14:30:00,2016-03-17 13:30:00,72.38,68.0,72.29,70.89,4.08,84.25,301,2016-04-29 13:30:00,44,10.46,,4.21,Idexx Laboratories,S&P 500,US,0.2901666666666667,2016-07-01,93.06999969482422,105.87999725341797,13.76,2.68,11.08,119.87999725341797,28.81,5.61,23.2,112.7300033569336,21.12,3.56,17.56,117.2699966430664,26.0,7.65,18.35,117.2699966430664,26.0,7.65,18.35
1,MRO.L,301.72,214.45,157.14,92.0,78.9,triple_bottom_breakout,2013-08-16 07:00:00,2013-12-04 08:00:00,2016-05-26 07:00:00,153.18,155.19,163.68,157.35,4.02,180.99,701,2016-06-17 07:00:00,31,66.71,,6.18,Melrose Industries,STOXX 600,Europe,0.7728,2016-08-01,301.7240295410156,344.10406494140625,14.05,0.49,13.56,437.1050720214844,44.87,5.21,39.66,395.83587646484375,31.19,-1.53,32.72,462.0991516113281,53.15,6.03,47.12,459.77410888671875,52.38,4.17,48.21
2,CRUS,49.46,38.61,34.08,45.1,78.9,triple_bottom_breakout,2012-10-09 13:30:00,2016-03-10 14:30:00,2016-07-05 13:30:00,36.32,33.53,34.82,34.89,4.1,42.0,938,2016-07-28 13:30:00,2,17.76,,7.02,Cirrus Logic,S&P MidCap 400,US,0.4903,2016-08-01,49.459999084472656,50.880001068115234,2.87,0.49,2.38,58.9900016784668,19.27,5.21,14.06,55.34000015258789,11.89,-1.53,13.42,60.31999969482422,21.96,6.03,15.93,56.540000915527344,14.31,4.17,10.14
