year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2024,2024-01-02,CYTK,84.12000274658203,-41.83,25.28,-67.11,-59.28,33.72,-93.0,-23.2,49.99,-73.19,,,,,,,,,
2024,2024-01-02,GAP,19.4097957611084,15.32,25.28,-9.96,12.49,33.72,-21.23,36.27,49.99,-13.72,,,,,,,,,
2024,2024-01-02,PATH,23.799999237060547,-45.67,25.28,-70.95,-44.45,33.72,-78.17,-27.18,49.99,-77.17,,,,,,,,,
2024,2024-01-02,IT,437.25,10.53,25.28,-14.75,-8.71,33.72,-42.43,-44.02,49.99,-94.01,,,,,,,,,
2024,2024-01-02,WDAY,268.2799987792969,-6.13,25.28,-31.41,-10.37,33.72,-44.09,-21.61,49.99,-71.6,,,,,,,,,
2024,2024-02-01,CYTK,81.25,-39.45,24.59,-64.04,-56.75,31.79,-88.54,-25.86,41.94,-67.8,,,,,,,,,
2024,2024-02-01,CVLT,94.63999938964844,76.75,24.59,52.16,96.08,31.79,64.29,-14.05,41.94,-55.99,,,,,,,,,
2024,2024-02-01,IT,467.010009765625,17.16,24.59,-7.43,-47.81,31.79,-79.6,-67.45,41.94,-109.39,,,,,,,,,
2024,2024-02-01,AYI,238.5746917724609,32.41,24.59,7.82,28.8,31.79,-2.99,32.27,41.94,-9.67,,,,,,,,,
2024,2024-03-01,CYTK,73.9800033569336,-40.69,15.15,-55.84,-32.75,28.96,-61.71,-18.34,34.35,-52.69,,,,,,,,,
2024,2024-03-01,PEGA,33.040374755859375,19.3,15.15,4.15,62.0,28.96,33.04,42.37,34.35,8.02,,,,,,,,,
2024,2024-03-01,ALSN,73.3753433227539,30.89,15.15,15.74,20.33,28.96,-8.63,58.23,34.35,23.88,,,,,,,,,
2024,2024-03-01,CVLT,97.58000183105467,72.08,15.15,56.93,81.54,28.96,52.58,-10.8,34.35,-45.15,,,,,,,,,
2024,2024-03-01,AYI,250.12615966796875,10.27,15.15,-4.88,35.36,28.96,6.4,9.97,34.35,-24.38,,,,,,,,,
2024,2024-03-01,WMS,161.04403686523438,-31.28,15.15,-46.43,-10.87,28.96,-39.83,-9.4,34.35,-43.75,,,,,,,,,
