year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2024,2024-03-01,RBA,75.02786254882812,32.25,15.15,17.1,53.59,28.96,24.63,37.92,34.35,3.57,,,,,,,,,
2024,2024-04-01,MU,123.41520690917967,-28.39,9.49,-37.88,48.65,30.54,18.11,206.04,29.26,176.78,,,,,,,,,
2024,2024-04-01,ALSN,78.65953826904297,23.73,9.49,14.24,8.86,30.54,-21.68,48.62,29.26,19.36,,,,,,,,,
2024,2024-04-01,AYI,263.576416015625,0.69,9.49,-8.8,34.79,30.54,4.25,1.62,29.26,-27.64,,,,,,,,,
2024,2024-04-01,CVLT,100.43000030517578,65.68,9.49,56.19,82.97,30.54,52.43,-21.37,29.26,-50.63,,,,,,,,,
2024,2024-04-01,WMS,168.5206298828125,-35.16,9.49,-44.65,-15.72,30.54,-46.26,-16.62,29.26,-45.88,,,,,,,,,
2024,2024-04-01,EHC,81.94524383544922,23.51,9.49,14.02,49.92,30.54,19.38,28.08,29.26,-1.18,,,,,,,,,
2024,2024-05-01,AVAV,162.52999877929688,-0.35,14.06,-14.41,126.35,39.1,87.25,7.28,50.23,-42.95,,,,,,,,,
2024,2024-05-01,MU,108.91913604736328,-26.35,14.06,-40.41,115.27,39.1,76.17,511.91,50.23,461.68,,,,,,,,,
2024,2024-06-03,FSLR,272.7200012207031,-39.92,13.79,-53.71,-5.66,32.07,-37.73,0.98,43.47,-42.49,,,,,,,,,
2024,2024-06-03,MU,127.25765228271484,-16.69,13.79,-30.48,77.93,32.07,45.86,645.84,43.47,602.37,,,,,,,,,
2024,2024-06-03,LPX,89.1010513305664,1.89,13.79,-11.9,-8.85,32.07,-40.92,-21.7,43.47,-65.17,,,,,,,,,
2024,2024-07-01,COHR,72.73999786376953,24.97,16.1,8.87,167.16,27.56,139.6,331.85,40.35,291.5,,,,,,,,,
2024,2024-07-01,TPL,238.9414978027344,49.17,16.1,33.07,24.37,27.56,-3.19,68.56,40.35,28.21,,,,,,,,,
2024,2024-08-01,TPL,271.2954406738281,17.07,17.09,-0.02,27.37,28.68,-1.31,31.09,44.89,-13.8,,,,,,,,,
2024,2024-08-01,MMM,121.10004425048828,21.13,17.09,4.04,33.37,28.68,4.69,48.57,44.89,3.68,,,,,,,,,
2024,2024-08-01,LPX,93.92754364013672,-0.75,17.09,-17.84,-0.91,28.68,-29.59,-19.51,44.89,-64.4,,,,,,,,,
2024,2024-09-03,TPL,269.0304870605469,9.67,18.7,-9.03,100.34,25.1,75.24,37.5,41.25,-3.75,,,,,,,,,
2024,2024-09-03,MMM,125.9695053100586,21.05,18.7,2.35,19.23,25.1,-5.87,35.14,41.25,-6.11,,,,,,,,,
2024,2024-11-01,EXEL,34.119998931884766,18.32,20.1,-1.78,41.15,31.49,9.66,,,,,,,,,,,,
2024,2024-11-01,TWLO,84.83999633789062,54.89,20.1,34.79,137.74,31.49,106.25,,,,,,,,,,,,
2024,2024-12-02,PLTR,66.38999938964844,167.99,14.76,153.23,105.56,24.66,80.9,,,,,,,,,,,,
2024,2024-12-02,TWLO,105.0999984741211,19.14,14.76,4.38,102.23,24.66,77.57,,,,,,,,,,,,
2024,2024-12-02,DOCS,53.40999984741211,-3.93,14.76,-18.69,-61.99,24.66,-86.65,,,,,,,,,,,,
2024,2024-12-02,EXEL,35.59000015258789,24.67,14.76,9.91,45.38,24.66,20.72,,,,,,,,,,,,
2024,2024-12-02,MS,125.39429473876952,37.21,14.76,22.45,68.33,24.66,43.67,,,,,,,,,,,,
2024,2024-12-02,VMI,344.7592468261719,19.45,14.76,4.69,55.16,24.66,30.5,,,,,,,,,,,,
2024,2024-12-02,COF,183.01806640625,24.06,14.76,9.3,-1.78,24.66,-26.44,,,,,,,,,,,,
