rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
1,CYTK,84.12,38.37,35.7,135.6,92.2,triple_bottom_breakout,2022-02-24 14:30:00,2023-08-02 13:30:00,2023-11-28 14:30:00,30.27,30.66,30.68,30.54,0.87,55.8,442,2023-12-27 14:30:00,3,50.75,,11.77,Cytokinetics,S&P MidCap 400,US,0.9374666666666667,2024-01-02,84.12000274658203,81.25,-3.41,3.5,-6.91,48.29999923706055,-42.58,12.36,-54.94,70.91999816894531,-15.69,10.23,-25.92,54.400001525878906,-35.33,17.41,-52.74,47.040000915527344,-44.08,25.59,-69.67
2,GAP,19.41,16.25,10.63,82.6,61.3,triple_bottom_breakout,2022-05-24 13:30:00,2023-03-23 13:30:00,2023-08-23 13:30:00,9.24,8.71,9.38,9.11,4.39,15.49,313,2023-11-17 14:30:00,29,25.31,,9.0,Gap Inc.,S&P MidCap 400,US,0.7456499999999999,2024-01-02,19.4097957611084,17.969623565673828,-7.42,3.5,-10.92,19.61875343322754,1.08,12.36,-11.28,24.046218872070312,23.89,10.23,13.66,22.330589294433594,15.05,17.41,-2.36,22.402671813964844,15.42,25.59,-10.17
3,PATH,23.8,20.45,17.4,36.8,52.0,triple_bottom_breakout,2022-05-12 13:30:00,2023-08-18 13:30:00,2023-10-27 13:30:00,13.66,14.12,14.9,14.23,4.71,22.3,367,2023-12-01 14:30:00,20,6.73,,8.31,UiPath,S&P MidCap 400,US,0.40905,2024-01-02,23.799999237060547,23.110000610351562,-2.9,3.5,-6.4,18.979999542236328,-20.25,12.36,-32.61,21.540000915527344,-9.5,10.23,-19.73,12.960000038146973,-45.55,17.41,-62.96,12.710000038146973,-46.6,25.59,-72.19
4,IT,437.25,413.34,356.09,22.8,49.3,triple_bottom_breakout,2021-12-20 14:30:00,2023-08-18 13:30:00,2023-10-27 13:30:00,302.55,324.3,323.61,316.82,4.5,377.88,466,2023-11-03 13:30:00,39,15.71,,4.0,Gartner,S&P 500,US,0.31421666666666664,2024-01-02,437.25,467.010009765625,6.81,3.5,3.31,439.0400085449219,0.41,12.36,-11.95,472.0899963378906,7.97,10.23,-2.26,447.75,2.4,17.41,-15.01,484.4700012207031,10.8,25.59,-14.79
5,WDAY,268.28,245.32,222.06,20.8,55.2,triple_bottom_breakout,2022-02-24 14:30:00,2023-08-18 13:30:00,2023-10-27 13:30:00,205.9,218.44,203.85,209.4,4.32,252.72,421,2023-11-29 14:30:00,22,6.16,,5.43,"Workday, Inc.",S&P 500,US,0.2821,2024-01-02,268.2799987792969,294.0,9.59,3.5,6.09,220.91000366210938,-17.66,12.36,-30.02,268.8299865722656,0.21,10.23,-10.02,225.5500030517578,-15.93,17.41,-33.34,258.0299987792969,-3.82,25.59,-29.41
1,CYTK,81.25,60.66,41.07,97.8,55.8,triple_bottom_breakout,2022-02-24 14:30:00,2023-08-02 13:30:00,2023-11-28 14:30:00,30.27,30.66,30.68,30.54,0.87,55.8,442,2023-12-27 14:30:00,24,45.61,,11.77,Cytokinetics,S&P MidCap 400,US,0.9264666666666668,2024-02-01,81.25,67.68000030517578,-16.7,4.72,-21.42,51.75,-36.31,12.22,-48.53,64.33999633789062,-20.81,3.56,-24.37,57.13999938964844,-29.67,9.62,-39.29,47.040000915527344,-42.1,21.34,-63.44
2,CVLT,94.64,77.74,70.8,33.7,86.3,triple_bottom_breakout,2021-08-19 13:30:00,2023-06-27 13:30:00,2024-01-05 14:30:00,72.9,69.63,73.33,71.95,3.23,84.22,598,2024-01-30 14:30:00,2,12.37,,4.4,CommVault Systems,S&P MidCap 400,US,0.3713833333333334,2024-02-01,94.63999938964844,97.91999816894531,3.47,4.72,-1.25,118.62999725341797,25.35,12.22,13.13,104.76000213623047,10.69,3.56,7.13,136.67999267578125,44.42,9.62,34.8,150.91000366210938,59.46,21.34,38.12
3,IT,467.01,446.77,370.49,26.1,62.4,triple_bottom_breakout,2021-12-20 14:30:00,2023-08-18 13:30:00,2023-10-27 13:30:00,302.55,324.3,323.61,316.82,4.5,377.88,466,2023-11-03 13:30:00,60,23.59,,4.0,Gartner,S&P 500,US,0.37011666666666665,2024-02-01,467.010009765625,469.75,0.59,4.72,-4.13,446.5,-4.39,12.22,-16.61,419.0400085449219,-10.27,3.56,-13.83,479.2900085449219,2.63,9.62,-6.99,484.4700012207031,3.74,21.34,-17.6
4,AYI,238.57,205.11,173.27,37.7,72.8,triple_bottom_breakout,2021-05-19 13:30:00,2022-12-16 14:30:00,2023-11-30 14:30:00,170.53,161.73,176.93,169.73,4.71,224.59,638,2024-01-09 14:30:00,16,6.23,,4.47,Acuity Brands,S&P MidCap 400,US,0.34705,2024-02-01,238.57469177246094,255.80252075195312,7.22,4.72,2.5,238.49769592285156,-0.03,12.22,-12.25,249.14089965820312,4.43,3.56,0.87,229.13107299804688,-3.96,9.62,-13.58,290.8905944824219,21.93,21.34,0.59
1,CYTK,73.98,78.14,45.01,64.4,45.0,triple_bottom_breakout,2022-02-24 14:30:00,2023-08-02 13:30:00,2023-11-28 14:30:00,30.27,30.66,30.68,30.54,0.87,55.8,442,2023-12-27 14:30:00,44,32.58,,11.77,Cytokinetics,S&P MidCap 400,US,0.7594666666666667,2024-03-01,73.9800033569336,70.97000122070312,-4.07,1.48,-5.55,58.5,-20.92,5.65,-26.57,48.5099983215332,-34.43,3.15,-37.58,57.08000183105469,-22.84,10.61,-33.45,47.040000915527344,-36.42,15.74,-52.16
2,PEGA,33.04,25.81,24.18,36.6,70.0,triple_bottom_breakout,2022-06-16 13:30:00,2023-09-26 13:30:00,2024-01-04 14:30:00,21.6,20.76,22.03,21.47,3.28,29.61,389,2024-02-15 14:30:00,10,11.57,,9.5,Pegasystems,S&P MidCap 400,US,0.46638333333333337,2024-03-01,33.040374755859375,30.817489624023438,-6.73,1.48,-8.21,34.223876953125,3.58,5.65,-2.07,28.514860153198242,-13.7,3.15,-16.85,35.19205093383789,6.51,10.61,-4.1,46.292972564697266,40.11,15.74,24.37
3,ALSN,73.38,60.46,55.7,31.7,82.6,triple_bottom_breakout,2020-01-03 14:30:00,2023-05-24 13:30:00,2023-11-01 13:30:00,47.73,47.22,50.14,48.36,3.67,61.53,964,2024-02-14 14:30:00,11,19.25,,4.79,Allison Transmission,S&P MidCap 400,US,0.39788333333333337,2024-03-01,73.3753433227539,79.24341583251953,8.0,1.48,6.52,82.41693115234375,12.32,5.65,6.67,74.0199966430664,0.88,3.15,-2.27,90.82424926757812,23.78,10.61,13.17,106.04469299316406,44.52,15.74,28.78
4,CVLT,97.58,85.56,74.2,31.5,71.5,triple_bottom_breakout,2021-08-19 13:30:00,2023-06-27 13:30:00,2024-01-05 14:30:00,72.9,69.63,73.33,71.95,3.23,84.22,598,2024-01-30 14:30:00,22,15.86,,4.4,CommVault Systems,S&P MidCap 400,US,0.37783333333333335,2024-03-01,97.58000183105469,99.06999969482422,1.53,1.48,0.05,122.23999786376953,25.27,5.65,19.62,107.58999633789062,10.26,3.15,7.11,155.39999389648438,59.25,10.61,48.64,150.91000366210938,54.65,15.74,38.91
5,AYI,250.13,227.21,181.68,37.7,70.1,triple_bottom_breakout,2021-05-19 13:30:00,2022-12-16 14:30:00,2023-11-30 14:30:00,170.53,161.73,176.93,169.73,4.71,224.59,638,2024-01-09 14:30:00,36,11.37,,4.47,Acuity Brands,S&P MidCap 400,US,0.37275,2024-03-01,250.12615966796875,260.2858581542969,4.06,1.48,2.58,243.9108428955078,-2.48,5.65,-8.13,258.2323913574219,3.24,3.15,0.09,253.4953155517578,1.35,10.61,-9.26,290.8905944824219,16.3,15.74,0.56
1,MU,123.42,92.17,75.98,62.4,81.1,triple_bottom_breakout,2021-06-21 13:30:00,2023-12-06 14:30:00,2024-02-20 14:30:00,75.71,72.93,79.15,75.93,4.24,98.45,670,2024-03-21 13:30:00,6,25.36,,5.58,Micron Technology,S&P 500,US,0.5894,2024-04-01,123.41520690917969,112.15592193603516,-9.12,-3.86,-5.26,103.60840606689453,-16.05,6.87,-22.92,130.58380126953125,5.81,4.78,1.03,103.06183624267578,-16.49,10.57,-27.06,83.83695983886719,-32.07,13.33,-45.4
2,ALSN,78.66,68.23,58.4,34.7,78.8,triple_bottom_breakout,2020-01-03 14:30:00,2023-05-24 13:30:00,2023-11-01 13:30:00,47.73,47.22,50.14,48.36,3.67,61.53,964,2024-02-14 14:30:00,31,27.84,,4.79,Allison Transmission,S&P MidCap 400,US,0.45583333333333337,2024-04-01,78.65953826904297,71.57504272460938,-9.01,-3.86,-5.15,86.62332153320312,10.12,6.87,3.25,73.1900634765625,-6.95,4.78,-11.73,94.0753173828125,19.6,10.57,9.03,106.04469299316406,34.81,13.33,21.48
3,AYI,263.58,247.29,192.01,37.3,62.7,triple_bottom_breakout,2021-05-19 13:30:00,2022-12-16 14:30:00,2023-11-30 14:30:00,170.53,161.73,176.93,169.73,4.71,224.59,638,2024-01-09 14:30:00,56,17.36,,4.47,Acuity Brands,S&P MidCap 400,US,0.4007,2024-04-01,263.576416015625,246.98243713378906,-6.3,-3.86,-2.44,242.0198211669922,-8.18,6.87,-15.05,240.1190185546875,-8.9,4.78,-13.68,274.08746337890625,3.99,10.57,-6.58,290.8905944824219,10.36,13.33,-2.97
4,CVLT,100.43,93.99,77.23,30.0,61.3,triple_bottom_breakout,2021-08-19 13:30:00,2023-06-27 13:30:00,2024-01-05 14:30:00,72.9,69.63,73.33,71.95,3.23,84.22,598,2024-01-30 14:30:00,42,19.25,,4.4,CommVault Systems,S&P MidCap 400,US,0.3872833333333333,2024-04-01,100.43000030517578,102.47000122070312,2.03,-3.86,5.89,148.52000427246094,47.88,6.87,41.01,121.68000030517578,21.16,4.78,16.38,153.85000610351562,53.19,10.57,42.62,150.91000366210938,50.26,13.33,36.93
5,WMS,168.52,153.9,128.32,31.3,61.1,triple_bottom_breakout,2022-09-27 13:30:00,2023-08-25 13:30:00,2024-01-16 14:30:00,119.25,120.8,126.67,122.24,3.62,145.68,326,2024-02-08 14:30:00,35,15.68,,3.59,Advanced Drainage Systems,S&P MidCap 400,US,0.3585333333333333,2024-04-01,168.5206298828125,155.2684326171875,-7.86,-3.86,-4.0,155.39227294921875,-7.79,6.87,-14.66,155.12501525878906,-7.95,4.78,-12.73,155.7300567626953,-7.59,10.57,-18.16,114.68382263183594,-31.95,13.33,-45.28
1,AVAV,162.53,148.86,123.48,31.6,66.1,triple_bottom_breakout,2020-12-15 14:30:00,2023-02-21 14:30:00,2023-05-25 13:30:00,80.79,83.55,88.24,84.19,4.81,143.72,614,2024-03-05 14:30:00,40,13.09,,15.77,AeroVironment,S&P MidCap 400,US,0.52535,2024-05-01,162.52999877929688,202.14999389648438,24.38,5.4,18.98,197.82000732421875,21.71,14.9,6.81,174.33999633789062,7.27,8.88,-1.61,216.60000610351562,33.27,16.65,16.62,153.88999938964844,-5.32,18.27,-23.59
2,MU,108.92,106.31,81.79,33.2,45.1,triple_bottom_breakout,2021-06-21 13:30:00,2023-12-06 14:30:00,2024-02-20 14:30:00,75.71,72.93,79.15,75.93,4.24,98.45,670,2024-03-21 13:30:00,28,10.63,,5.58,Micron Technology,S&P 500,US,0.36974999999999997,2024-05-01,108.91913604736328,124.11022186279297,13.95,5.4,8.55,93.41252136230469,-14.24,14.9,-29.14,100.8755874633789,-7.38,8.88,-16.26,103.54597473144531,-4.93,16.65,-21.58,83.83695983886719,-23.03,18.27,-41.3
1,FSLR,272.72,194.54,166.87,63.4,80.6,triple_bottom_breakout,2023-01-05 14:30:00,2023-12-13 14:30:00,2024-03-19 13:30:00,141.81,137.17,145.77,141.58,3.12,232.0,301,2024-05-22 13:30:00,7,17.55,,7.22,First Solar,S&P 500,US,0.5938833333333333,2024-06-03,272.7200012207031,231.11000061035156,-15.26,4.82,-20.08,196.0399932861328,-28.12,10.44,-38.56,212.74000549316406,-21.99,4.94,-26.93,207.9199981689453,-23.76,15.09,-38.85,176.24000549316406,-35.38,12.12,-47.5
2,MU,127.26,119.82,88.04,44.5,57.7,triple_bottom_breakout,2021-06-21 13:30:00,2023-12-06 14:30:00,2024-02-20 14:30:00,75.71,72.93,79.15,75.93,4.24,98.45,670,2024-03-21 13:30:00,50,29.26,,5.58,Micron Technology,S&P 500,US,0.5194,2024-06-03,127.25765228271484,135.8460693359375,6.75,4.82,1.93,106.30175018310547,-16.47,10.44,-26.91,88.0263900756836,-30.83,4.94,-35.77,98.04434204101562,-22.96,15.09,-38.05,83.83695983886719,-34.12,12.12,-46.24
3,LPX,89.1,79.11,65.9,35.2,66.4,triple_bottom_breakout,2021-12-20 14:30:00,2024-01-05 14:30:00,2024-04-19 13:30:00,69.59,65.82,71.39,68.93,4.52,84.54,585,2024-05-08 13:30:00,17,5.4,,4.1,Louisiana-Pacific,S&P MidCap 400,US,0.3261333333333334,2024-06-03,89.1010513305664,80.71047973632812,-9.42,4.82,-14.24,100.85993957519531,13.2,10.44,2.76,91.7838134765625,3.01,4.94,-1.93,114.52656555175781,28.54,15.09,13.45,101.07582092285156,13.44,12.12,1.32
1,COHR,72.74,61.57,49.28,47.6,66.0,triple_bottom_breakout,2022-05-25 13:30:00,2024-03-19 13:30:00,2024-05-31 13:30:00,56.14,55.72,55.22,55.69,0.85,67.94,506,2024-06-03 13:30:00,19,7.07,,5.8,Coherent Corp.,S&P 500,US,0.4615166666666667,2024-07-01,72.73999786376953,69.68000030517578,-4.21,1.0,-5.21,103.37999725341797,42.12,8.61,33.51,88.91000366210938,22.23,5.53,16.7,94.83999633789062,30.38,8.56,21.82,94.7300033569336,30.23,8.16,22.07
