rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
1,FN,56.98,51.89,43.62,30.6,60.0,triple_bottom_breakout,2017-03-15 13:30:00,2018-07-30 13:30:00,2018-10-29 13:30:00,38.44,38.34,40.94,39.24,4.33,48.97,410,2018-11-06 14:30:00,58,16.36,,4.76,Fabrinet,S&P MidCap 400,US,0.37083333333333335,2019-02-01,56.97999954223633,56.099998474121094,-1.54,3.32,-4.86,48.709999084472656,-14.51,8.56,-23.07,62.0099983215332,8.83,9.36,-0.53,50.9900016784668,-10.51,9.36,-19.87,64.83999633789062,13.79,21.44,-7.65
1,LSCC,12.45,8.37,7.23,72.1,79.7,triple_bottom_breakout,2016-10-14 13:30:00,2017-11-03 13:30:00,2018-12-20 14:30:00,5.91,5.69,6.18,5.93,4.27,8.9,549,2019-02-13 14:30:00,11,39.89,,11.75,Lattice Semiconductor,S&P MidCap 400,US,0.7636333333333334,2019-03-01,12.449999809265137,12.109999656677246,-2.73,2.38,-5.11,16.790000915527344,34.86,8.49,26.37,12.800000190734863,2.81,-1.4,4.21,19.889999389648438,59.76,5.31,54.45,19.139999389648438,53.73,16.95,36.78
2,EEFT,135.37,114.69,102.6,31.9,79.1,triple_bottom_breakout,2017-09-26 13:30:00,2018-09-28 13:30:00,2018-12-26 14:30:00,93.41,99.53,91.78,94.91,4.87,121.93,314,2019-02-08 14:30:00,14,11.02,,3.81,Euronet Worldwide,S&P MidCap 400,US,0.3294,2019-03-01,135.3699951171875,144.9499969482422,7.08,2.38,4.7,157.42999267578125,16.3,8.49,7.81,155.0399932861328,14.53,-1.4,15.93,154.00999450683594,13.77,5.31,8.46,157.55999755859375,16.39,16.95,-0.56
3,WAT,244.8,213.02,198.29,23.5,77.5,triple_bottom_breakout,2017-10-18 13:30:00,2018-10-23 13:30:00,2018-12-24 14:30:00,180.21,167.94,173.41,173.85,3.66,220.2,297,2019-01-23 14:30:00,26,11.17,,4.17,Waters Corporation,S&P 500,US,0.30625,2019-03-01,244.8000030517578,252.97999572753906,3.34,2.38,0.96,218.5,-10.74,8.49,-19.23,200.7100067138672,-18.01,-1.4,-16.61,210.9199981689453,-13.84,5.31,-19.15,233.64999389648438,-4.55,16.95,-21.5
1,LSCC,12.11,10.7,7.94,52.5,53.8,triple_bottom_breakout,2016-10-14 13:30:00,2017-11-03 13:30:00,2018-12-20 14:30:00,5.91,5.69,6.18,5.93,4.27,8.9,549,2019-02-13 14:30:00,32,36.07,,11.75,Lattice Semiconductor,S&P MidCap 400,US,0.6656333333333334,2019-04-01,12.109999656677246,13.489999771118164,11.4,2.09,9.31,19.979999542236328,64.99,2.78,62.21,15.100000381469727,24.69,3.94,20.75,18.290000915527344,51.03,4.81,46.22,19.139999389648438,58.05,14.23,43.82
2,EEFT,144.95,129.96,108.42,33.7,69.6,triple_bottom_breakout,2017-09-26 13:30:00,2018-09-28 13:30:00,2018-12-26 14:30:00,93.41,99.53,91.78,94.91,4.87,121.93,314,2019-02-08 14:30:00,35,18.88,,3.81,Euronet Worldwide,S&P MidCap 400,US,0.37770000000000004,2019-04-01,144.9499969482422,149.75,3.31,2.09,1.22,151.30999755859375,4.39,2.78,1.61,167.47000122070312,15.54,3.94,11.6,146.3000030517578,0.93,4.81,-3.88,157.55999755859375,8.7,14.23,-5.53
3,ULTA,352.55,310.9,276.05,27.7,73.4,triple_bottom_breakout,2017-03-27 13:30:00,2017-05-24 13:30:00,2019-03-08 14:30:00,277.09,277.68,294.0,282.92,3.92,322.49,490,2019-03-15 13:30:00,11,9.32,,5.22,Ulta Beauty,S&P 500,US,0.33290000000000003,2019-04-01,352.54998779296875,334.94000244140625,-5.0,2.09,-7.09,334.8599853515625,-5.02,2.78,-7.8,340.3800048828125,-3.45,3.94,-7.39,250.64999389648438,-28.9,4.81,-33.71,253.13999938964844,-28.2,14.23,-42.43
4,WAT,252.98,236.97,203.29,24.4,69.5,triple_bottom_breakout,2017-10-18 13:30:00,2018-10-23 13:30:00,2018-12-24 14:30:00,180.21,167.94,173.41,173.85,3.66,220.2,297,2019-01-23 14:30:00,47,14.89,,4.17,Waters Corporation,S&P 500,US,0.32935000000000003,2019-04-01,252.97999572753906,211.5500030517578,-16.38,2.09,-18.47,209.99000549316406,-16.99,2.78,-19.77,219.17999267578125,-13.36,3.94,-17.3,223.22999572753906,-11.76,4.81,-16.57,233.64999389648438,-7.64,14.23,-21.87
1,LSCC,13.49,12.59,8.61,56.6,61.7,triple_bottom_breakout,2016-10-14 13:30:00,2017-11-03 13:30:00,2018-12-20 14:30:00,5.91,5.69,6.18,5.93,4.27,8.9,549,2019-02-13 14:30:00,53,51.57,,11.75,Lattice Semiconductor,S&P MidCap 400,US,0.6861333333333334,2019-05-01,13.489999771118164,12.800000190734863,-5.11,-5.67,0.56,19.889999389648438,47.44,3.16,44.28,19.34000015258789,43.37,2.42,40.95,18.81999969482422,39.51,4.89,34.62,19.139999389648438,41.88,11.89,29.99
2,EEFT,149.75,140.93,114.73,30.5,68.8,triple_bottom_breakout,2017-09-26 13:30:00,2018-09-28 13:30:00,2018-12-26 14:30:00,93.41,99.53,91.78,94.91,4.87,121.93,314,2019-02-08 14:30:00,56,22.82,,3.81,Euronet Worldwide,S&P MidCap 400,US,0.3814,2019-05-01,149.75,155.0399932861328,3.53,-5.67,9.2,148.25,-1.0,3.16,-4.16,155.91000366210938,4.11,2.42,1.69,142.47999572753906,-4.85,4.89,-9.74,157.55999755859375,5.22,11.89,-6.67
3,MANH,66.7,56.88,51.67,29.1,73.8,triple_bottom_breakout,2016-12-01 14:30:00,2017-03-22 13:30:00,2019-03-28 13:30:00,50.76,48.53,53.44,50.91,4.97,62.39,582,2019-04-24 13:30:00,5,6.91,,5.13,Manhattan Associates,S&P MidCap 400,US,0.31585,2019-05-01,66.69999694824219,65.47000122070312,-1.84,-5.67,3.83,84.05000305175781,26.01,3.16,22.85,84.98999786376953,27.42,2.42,25.0,77.7699966430664,16.6,4.89,11.71,79.75,19.57,11.89,7.68
4,DIS,130.63,113.65,108.84,20.0,72.6,triple_bottom_breakout,2018-03-01 14:30:00,2018-12-24 14:30:00,2019-03-25 13:30:00,101.33,100.35,107.32,103.0,4.19,120.2,267,2019-04-12 13:30:00,12,8.68,,5.3,Walt Disney Company (The),S&P 500,US,0.28983333333333333,2019-05-01,130.63253784179688,126.4754409790039,-3.18,-5.67,2.49,127.6634750366211,-2.27,3.16,-5.43,137.83143615722656,5.51,2.42,3.09,124.79139709472656,-4.47,4.89,-9.36,140.22792053222656,7.35,11.89,-4.54
