year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2016,2016-01-04,IESC,11.489999771118164,71.89,14.45,57.44,52.74,24.5,28.24,47.52,40.11,7.41,45.69,33.23,12.46,118.97,74.07,44.9,291.82,103.45,188.37
2016,2016-02-01,IESC,12.539999961853027,55.5,20.02,35.48,36.36,31.66,4.7,39.55,51.59,-12.04,32.93,47.98,-15.05,101.83,80.97,20.86,286.44,117.01,169.43
2016,2016-02-01,FN,25.09000015258789,67.92,20.02,47.9,79.99,31.66,48.33,-1.12,51.59,-52.71,127.1,47.98,79.12,153.93,80.97,72.96,233.88,117.01,116.87
2016,2016-03-01,IESC,13.600000381469728,46.69,23.63,23.06,17.28,27.41,-10.13,11.4,40.71,-29.31,38.9,49.65,-10.75,71.54,63.86,7.68,265.0,112.05,152.95
2016,2016-03-01,FN,28.81999969482422,43.55,23.63,19.92,33.83,27.41,6.42,4.48,40.71,-36.23,101.01,49.65,51.36,95.39,63.86,31.53,203.23,112.05,91.18
2016,2016-04-04,FN,31.020000457763672,32.17,16.46,15.71,23.11,26.1,-2.99,1.06,32.92,-31.86,78.4,47.64,30.76,69.73,30.2,39.53,191.81,116.47,75.34
2016,2016-06-01,AMD,4.429999828338623,146.73,18.13,128.6,144.47,28.78,115.69,225.06,35.34,189.72,567.49,41.46,526.03,1090.29,60.64,1029.65,1712.19,118.94,1593.25
2016,2016-07-01,IDXX,93.06999969482422,71.18,17.73,53.45,69.56,31.96,37.6,135.11,34.13,100.98,199.23,50.7,148.53,264.75,63.29,201.46,608.06,126.29,481.77
2016,2016-08-01,MRO.L,301.7240295410156,79.1,16.32,62.78,77.27,33.92,43.35,64.82,34.57,30.25,50.06,42.97,7.09,-24.02,63.85,-87.87,22.67,123.12,-100.45
2016,2016-08-01,CRUS,49.459999084472656,27.54,16.32,11.22,0.22,33.92,-33.7,-12.7,34.57,-47.27,11.5,42.97,-31.47,50.61,63.85,-13.24,59.18,123.12,-63.94
2016,2016-08-01,ENTG,16.22311782836914,54.98,16.32,38.66,92.62,33.92,58.7,109.48,34.57,74.91,148.94,42.97,105.97,346.09,63.85,282.24,642.14,123.12,519.02
2016,2016-09-01,MRO.L,345.84771728515625,47.92,16.32,31.6,53.51,29.37,24.14,53.27,38.57,14.7,19.38,45.21,-25.83,-28.95,71.77,-100.72,15.5,128.68,-113.18
2016,2016-09-01,CRUS,51.95000076293945,13.24,16.32,-3.08,-14.98,29.37,-44.35,-15.61,38.57,-54.18,5.02,45.21,-40.19,12.3,71.77,-59.47,60.96,128.68,-67.72
2016,2016-09-01,ENTG,16.519479751586914,50.17,16.32,33.85,104.28,29.37,74.91,93.17,38.57,54.6,160.01,45.21,114.8,296.0,71.77,224.23,623.31,128.68,494.63
2016,2016-09-01,AMAT,27.22496795654297,50.48,16.32,34.16,100.87,29.37,71.5,43.93,38.57,5.36,73.53,45.21,28.32,114.78,71.77,43.01,378.7,128.68,250.02
2016,2016-09-01,LOGN.SW,17.51092529296875,69.14,16.32,52.82,83.4,29.37,54.03,142.08,38.57,103.51,110.69,45.21,65.48,231.64,71.77,159.87,388.07,128.68,259.39
2016,2016-09-01,PODD,42.459999084472656,37.0,16.32,20.68,85.94,29.37,56.57,144.7,38.57,106.13,274.07,45.21,228.86,392.25,71.77,320.48,612.65,128.68,483.97
2016,2016-09-01,CTAS,26.395811080932617,15.8,16.32,-0.52,49.64,29.37,20.27,87.52,38.57,48.95,135.16,45.21,89.95,193.83,71.77,122.06,258.44,128.68,129.76
2016,2016-10-03,LOGN.SW,20.019962310791016,56.22,19.56,36.66,50.48,26.75,23.73,95.35,40.45,54.9,82.7,44.53,38.17,233.66,70.05,163.61,282.99,119.82,163.17
2016,2016-10-03,CRUS,52.18000030517578,4.39,19.56,-15.17,-25.24,26.75,-51.99,-27.52,40.45,-67.97,4.6,44.53,-39.93,33.69,70.05,-36.36,51.8,119.82,-68.02
2016,2016-10-03,ENTG,16.443002700805664,69.77,19.56,50.21,102.6,26.75,75.85,70.68,40.45,30.23,181.56,44.53,137.03,369.21,70.05,299.16,622.85,119.82,503.03
2016,2016-10-03,ADSK,71.18000030517578,59.64,19.56,40.08,79.85,26.75,53.1,117.58,40.45,77.13,106.36,44.53,61.83,221.62,70.05,151.57,287.72,119.82,167.9
2016,2016-11-01,TPL,26.083009719848636,54.21,24.5,29.71,138.85,29.8,109.05,154.77,34.66,120.11,144.24,54.33,89.91,90.21,71.99,18.22,411.35,141.2,270.15
2016,2016-11-01,NKT.CO,180.97267150878903,22.59,24.5,-1.91,-19.42,29.8,-49.22,-40.43,34.66,-75.09,-42.22,54.33,-96.55,0.69,71.99,-71.3,65.6,141.2,-75.6
2016,2016-12-01,THO,84.70232391357422,49.05,22.88,26.17,-5.22,28.99,-34.21,-30.4,32.15,-62.55,-33.4,50.29,-83.69,-0.05,80.36,-80.41,14.3,126.16,-111.86
2016,2016-12-01,SLM,8.965791702270508,10.15,22.88,-12.73,13.25,28.99,-15.74,0.77,32.15,-31.38,-18.11,50.29,-68.4,13.64,80.36,-66.72,81.36,126.16,-44.8
2016,2016-12-01,PEGA,17.036785125732422,44.55,22.88,21.67,85.47,28.99,56.48,56.2,32.15,24.05,117.54,50.29,67.25,275.27,80.36,194.91,217.0,126.16,90.84
2016,2016-12-01,PRI,62.89663314819336,46.34,22.88,23.46,41.41,28.99,12.42,68.34,32.15,36.19,92.3,50.29,42.01,97.55,80.36,17.19,117.16,126.16,-9.0
2016,2016-12-01,LOPE,57.650001525878906,61.46,22.88,38.58,96.6,28.99,67.61,113.43,32.15,81.28,52.0,50.29,1.71,46.8,80.36,-33.56,23.16,126.16,-103.0
