rank,ticker,price,sma50,sma200,pct_above_200sma,rsi14,pattern_type,bottom1_date,bottom2_date,bottom3_date,bottom1_price,bottom2_price,bottom3_price,avg_bottom,bottom_variation_pct,neckline,pattern_span_days,breakout_date,days_since_breakout,pct_above_neckline,pct_to_neckline,volume_ratio,name,indices,region,score,cohort_date,entry_price,price_1m,return_1m,spy_return_1m,alpha_1m,price_100d,return_100d,spy_return_100d,alpha_100d,price_3m,return_3m,spy_return_3m,alpha_3m,price_6m,return_6m,spy_return_6m,alpha_6m,price_yearend,return_yearend,spy_return_yearend,alpha_yearend
1,ACGL,59.39,55.47,46.69,27.2,60.9,triple_bottom_breakout,2021-05-13 13:30:00,2022-07-14 13:30:00,2022-09-26 13:30:00,38.75,42.11,41.05,40.64,4.64,50.73,345,2022-10-28 13:30:00,44,17.08,,8.06,Arch Capital Group,S&P 500,US,0.4093333333333333,2023-01-03,59.39311981201172,58.337623596191406,-1.78,9.44,-11.22,67.5137939453125,13.67,10.71,2.96,64.55650329589844,8.69,7.72,0.97,70.24287414550781,18.27,16.32,1.95,70.62322998046875,18.91,26.71,-7.8
2,FICO,591.19,559.22,459.88,28.6,49.2,triple_bottom_breakout,2021-10-06 13:30:00,2022-06-16 13:30:00,2022-10-13 13:30:00,392.06,371.52,389.84,384.47,3.37,531.03,257,2022-11-10 14:30:00,35,11.33,,3.78,Fair Isaac,S&P 500,US,0.32895,2023-01-03,591.1900024414062,690.3200073242188,16.77,9.44,7.33,791.6199951171875,33.9,10.71,23.19,689.2899780273438,16.59,7.72,8.87,782.4000244140625,32.34,16.32,16.02,1164.010009765625,96.89,26.71,70.18
1,FICO,682.68,613.2,477.84,42.9,70.0,triple_bottom_breakout,2021-10-06 13:30:00,2022-06-16 13:30:00,2022-10-13 13:30:00,392.06,371.52,389.84,384.47,3.37,531.03,257,2022-11-10 14:30:00,55,28.56,,3.78,Fair Isaac,S&P 500,US,0.4866,2023-02-01,682.6799926757812,705.22998046875,3.3,-1.61,4.91,775.5399780273438,13.6,6.98,6.62,752.3900146484375,10.21,-0.3,10.51,855.1799926757812,25.27,10.08,15.19,1164.010009765625,70.51,17.46,53.05
1,AAON,59.47,50.59,42.4,40.3,75.3,triple_bottom_breakout,2021-03-05 14:30:00,2021-12-20 14:30:00,2023-01-12 14:30:00,47.15,50.25,46.87,48.09,4.5,55.86,468,2023-02-28 14:30:00,1,6.47,,6.7,AAON,S&P MidCap 400,US,0.40051666666666663,2023-03-01,59.47221755981445,62.39671325683594,4.92,2.66,2.26,66.60285949707031,11.99,16.25,-4.26,56.946041107177734,-4.25,6.26,-10.51,61.99457550048828,4.24,15.12,-10.88,73.12732696533203,22.96,22.24,0.72
2,CRUS,103.21,89.9,79.23,30.3,66.2,triple_bottom_breakout,2021-12-02 14:30:00,2022-09-07 13:30:00,2022-12-28 14:30:00,75.9,71.7,72.23,73.28,3.58,95.84,269,2023-02-03 14:30:00,17,7.69,,5.52,Cirrus Logic,S&P MidCap 400,US,0.34614999999999996,2023-03-01,103.20999908447266,109.55999755859375,6.15,2.66,3.49,78.56999969482422,-23.87,16.25,-40.12,77.68000030517578,-24.74,6.26,-31.0,81.0999984741211,-21.42,15.12,-36.54,83.19000244140625,-19.4,22.24,-41.64
3,NVT,44.44,39.31,34.63,28.3,74.6,triple_bottom_breakout,2021-10-12 13:30:00,2022-07-14 13:30:00,2022-10-13 13:30:00,31.08,29.19,30.61,30.29,3.64,39.53,253,2023-02-07 14:30:00,15,12.43,,4.14,nVent Electric plc,S&P MidCap 400,US,0.33625,2023-03-01,44.4441032409668,40.65937805175781,-8.52,2.66,-11.18,51.280330657958984,15.38,16.25,-0.87,41.948699951171875,-5.61,6.26,-11.87,53.686214447021484,20.79,15.12,5.67,57.528282165527344,29.44,22.24,7.2
4,GWW,650.86,584.8,528.16,23.2,63.8,triple_bottom_breakout,2021-05-19 13:30:00,2022-05-12 13:30:00,2022-09-27 13:30:00,447.1,455.61,483.19,461.97,4.59,588.62,342,2023-02-02 14:30:00,18,10.57,,3.54,W. W. Grainger,S&P 500,US,0.28195000000000003,2023-03-01,650.86083984375,649.1730346679688,-0.26,2.66,-2.92,745.66796875,14.57,16.25,-1.68,631.290283203125,-3.01,6.26,-9.27,707.34326171875,8.68,15.12,-6.44,810.0899658203125,24.46,22.24,2.22
1,AAON,63.78,55.71,45.39,40.5,68.9,triple_bottom_breakout,2021-03-05 14:30:00,2021-12-20 14:30:00,2023-01-12 14:30:00,47.15,50.25,46.87,48.09,4.5,55.86,468,2023-02-28 14:30:00,24,14.19,,6.7,AAON,S&P MidCap 400,US,0.4401166666666667,2023-04-03,63.784053802490234,64.13908386230469,0.56,-0.71,1.27,59.94060134887695,-6.03,7.46,-13.49,61.44816207885742,-3.66,8.23,-11.89,54.823490142822266,-14.05,3.33,-17.38,73.12732696533203,14.65,16.97,-2.32
2,DKS,135.97,124.51,104.24,30.4,62.4,triple_bottom_breakout,2021-12-20 14:30:00,2022-10-21 13:30:00,2022-12-22 14:30:00,99.28,105.27,106.51,103.69,4.25,125.15,254,2023-03-07 14:30:00,19,8.64,,8.56,Dick's Sporting Goods,S&P MidCap 400,US,0.39536666666666664,2023-04-03,135.96511840820312,131.70611572265625,-3.13,-0.71,-2.42,103.93782806396484,-23.56,7.46,-31.02,122.26449584960938,-10.08,8.23,-18.31,97.88651275634766,-28.01,3.33,-31.34,139.00320434570312,2.23,16.97,-14.74
3,GWW,662.66,638.2,550.66,20.3,55.5,triple_bottom_breakout,2021-05-19 13:30:00,2022-05-12 13:30:00,2022-09-27 13:30:00,447.1,455.61,483.19,461.97,4.59,588.62,342,2023-02-02 14:30:00,41,12.58,,3.54,W. W. Grainger,S&P 500,US,0.27749999999999997,2023-04-03,662.6556396484375,663.08251953125,0.06,-0.71,0.77,696.8595581054688,5.16,7.46,-2.3,761.30859375,14.89,8.23,6.66,670.0115356445312,1.11,3.33,-2.22,810.0899658203125,22.25,16.97,5.28
4,NVT,42.85,41.46,35.61,20.3,58.7,triple_bottom_breakout,2021-10-12 13:30:00,2022-07-14 13:30:00,2022-10-13 13:30:00,31.08,29.19,30.61,30.29,3.64,39.53,253,2023-02-07 14:30:00,38,8.39,,4.14,nVent Electric plc,S&P MidCap 400,US,0.27604999999999996,2023-04-03,42.84546661376953,41.03971481323242,-4.21,-0.71,-3.5,51.57136535644531,20.37,7.46,12.91,48.737083435058594,13.75,8.23,5.52,50.13559341430664,17.01,3.33,13.68,57.528282165527344,34.27,16.97,17.3
1,AAON,64.36,60.66,48.08,33.9,56.5,triple_bottom_breakout,2021-03-05 14:30:00,2021-12-20 14:30:00,2023-01-12 14:30:00,47.15,50.25,46.87,48.09,4.5,55.86,468,2023-02-28 14:30:00,43,15.22,,6.7,AAON,S&P MidCap 400,US,0.41226666666666667,2023-05-01,64.36264038085938,56.946041107177734,-11.52,0.56,-12.08,56.306541442871094,-12.52,4.34,-16.86,70.09857177734375,8.91,10.27,-1.36,53.844669342041016,-16.34,0.74,-17.08,73.12732696533203,13.62,15.69,-2.07
2,CHDN,147.58,124.52,110.5,33.6,81.7,triple_bottom_breakout,2021-03-25 13:30:00,2022-11-30 14:30:00,2023-03-13 13:30:00,106.92,107.4,115.21,109.84,4.89,131.1,494,2023-04-27 13:30:00,2,12.57,,3.61,Churchill Downs Inc.,S&P MidCap 400,US,0.34211666666666674,2023-05-01,147.5825653076172,134.4557647705078,-8.89,0.56,-9.45,114.28047180175781,-22.57,4.34,-26.91,116.81475067138672,-20.85,10.27,-31.12,107.8853530883789,-26.9,0.74,-27.64,134.0182342529297,-9.19,15.69,-24.88
1,NVDA,39.69,29.03,19.89,99.5,75.7,triple_bottom_breakout,2021-10-04 13:30:00,2022-03-08 14:30:00,2023-02-22 14:30:00,19.56,20.65,20.42,20.21,3.23,34.65,348,2023-05-25 13:30:00,4,14.55,,3.57,Nvidia,S&P 500,US,0.6974499999999999,2023-06-01,39.688568115234375,42.330528259277344,6.66,5.6,1.06,43.581695556640625,9.81,1.16,8.65,49.25904083251953,24.11,7.16,16.95,46.68291091918945,17.62,8.98,8.64,49.43413162231445,24.56,13.96,10.6
2,KRYS,116.84,89.92,78.81,48.3,70.7,triple_bottom_breakout,2021-03-26 13:30:00,2023-01-10 14:30:00,2023-03-10 14:30:00,66.77,69.81,70.51,69.03,3.27,102.99,492,2023-05-22 13:30:00,7,13.45,,6.74,Krystal Biotech,S&P MidCap 400,US,0.48838333333333334,2023-06-01,116.83999633789062,116.88999938964844,0.04,5.6,-5.56,117.05000305175781,0.18,1.16,-0.98,124.4800033569336,6.54,7.16,-0.62,104.2300033569336,-10.79,8.98,-19.77,124.05999755859375,6.18,13.96,-7.78
3,CELH,44.43,34.85,33.09,34.3,71.5,triple_bottom_breakout,2021-10-15 13:30:00,2023-02-03 14:30:00,2023-04-10 13:30:00,29.03,30.28,28.08,29.13,3.95,40.75,371,2023-05-10 13:30:00,15,9.04,,7.48,Celsius Holdings,S&P MidCap 400,US,0.4018666666666667,2023-06-01,44.43000030517578,49.42333221435547,11.24,5.6,5.64,56.97666549682617,28.24,1.16,27.08,65.34666442871094,47.08,7.16,39.92,49.5099983215332,11.43,8.98,2.45,54.52000045776367,22.71,13.96,8.75
4,CMG,41.65,37.85,32.72,27.3,68.1,triple_bottom_breakout,2021-03-30 13:30:00,2022-11-09 14:30:00,2023-03-02 14:30:00,28.03,27.21,29.4,28.21,4.21,39.17,484,2023-04-26 13:30:00,25,6.32,,6.26,Chipotle Mexican Grill,S&P 500,US,0.33033333333333337,2023-06-01,41.64659881591797,42.47079849243164,1.98,5.6,-3.62,37.10179901123047,-10.91,1.16,-12.07,38.532798767089844,-7.48,7.16,-14.64,44.04499816894531,5.76,8.98,-3.22,45.739200592041016,9.83,13.96,-4.13
1,NVDA,42.33,34.88,22.55,87.7,63.0,triple_bottom_breakout,2021-10-04 13:30:00,2022-03-08 14:30:00,2023-02-22 14:30:00,19.56,20.65,20.42,20.21,3.23,34.65,348,2023-05-25 13:30:00,25,22.18,,3.57,Nvidia,S&P 500,US,0.6766,2023-07-03,42.330528259277344,44.182926177978516,4.38,1.43,2.95,48.62528610229492,14.87,2.89,11.98,44.69861602783203,5.59,-3.37,8.96,48.08252716064453,13.59,7.31,6.28,49.43413162231445,16.78,7.92,8.86
2,CELH,49.42,42.66,34.53,43.1,61.6,triple_bottom_breakout,2021-10-15 13:30:00,2023-02-03 14:30:00,2023-04-10 13:30:00,29.03,30.28,28.08,29.13,3.95,40.75,371,2023-05-10 13:30:00,36,21.29,,7.48,Celsius Holdings,S&P MidCap 400,US,0.5071166666666667,2023-07-03,49.42333221435547,46.4466667175293,-6.02,1.43,-7.45,53.91999816894531,9.1,2.89,6.21,58.0,17.35,-3.37,20.72,59.029998779296875,19.44,7.31,12.13,54.52000045776367,10.31,7.92,2.39
3,KRYS,116.89,106.94,84.14,38.9,50.6,triple_bottom_breakout,2021-03-26 13:30:00,2023-01-10 14:30:00,2023-03-10 14:30:00,66.77,69.81,70.51,69.03,3.27,102.99,492,2023-05-22 13:30:00,28,13.5,,6.74,Krystal Biotech,S&P MidCap 400,US,0.4416333333333334,2023-07-03,116.88999938964844,126.27999877929688,8.03,1.43,6.6,102.0199966430664,-12.72,2.89,-15.61,111.56999969482422,-4.55,-3.37,-1.18,124.95999908447266,6.9,7.31,-0.41,124.05999755859375,6.13,7.92,-1.79
4,ORCL,112.69,101.83,83.99,34.2,57.7,triple_bottom_breakout,2021-09-14 13:30:00,2022-12-06 14:30:00,2023-03-13 13:30:00,84.73,78.06,82.04,81.61,4.35,106.34,375,2023-06-12 13:30:00,14,5.97,,5.07,Oracle Corporation,S&P 500,US,0.34185,2023-07-03,112.69082641601562,111.69625091552734,-0.88,1.43,-2.31,112.61845397949219,-0.06,2.89,-2.95,103.00845336914062,-8.59,-3.37,-5.22,100.81794738769531,-10.54,7.31,-17.85,102.1452407836914,-9.36,7.92,-17.28
5,CMG,42.47,40.88,33.56,26.6,63.7,triple_bottom_breakout,2021-03-30 13:30:00,2022-11-09 14:30:00,2023-03-02 14:30:00,28.03,27.21,29.4,28.21,4.21,39.17,484,2023-04-26 13:30:00,46,8.42,,6.26,Chipotle Mexican Grill,S&P 500,US,0.3373333333333333,2023-07-03,42.47079849243164,38.73720169067383,-8.79,1.43,-10.22,44.37860107421875,4.49,2.89,1.6,37.34260177612305,-12.07,-3.37,-8.7,44.89500045776367,5.71,7.31,-1.6,45.739200592041016,7.7,7.92,-0.22
1,NVDA,46.42,41.51,25.78,80.0,63.2,triple_bottom_breakout,2021-10-04 13:30:00,2022-03-08 14:30:00,2023-02-22 14:30:00,19.56,20.65,20.42,20.21,3.23,34.65,348,2023-05-25 13:30:00,45,33.97,,3.57,Nvidia,S&P 500,US,0.6772,2023-08-01,46.41656494140625,49.168216705322266,5.93,-1.2,7.13,48.903079986572266,5.36,4.34,1.02,41.084354400634766,-11.49,-8.64,-2.85,61.41783142089844,32.32,6.59,25.73,49.43413162231445,6.5,4.92,1.58
2,VICR,88.0,59.48,53.59,64.2,76.0,triple_bottom_breakout,2022-06-16 13:30:00,2022-12-22 14:30:00,2023-06-23 13:30:00,52.17,50.11,51.96,51.41,2.54,82.4,255,2023-07-26 13:30:00,4,6.8,,12.22,Vicor Corporation,S&P MidCap 400,US,0.6332666666666668,2023-08-01,88.0,68.55000305175781,-22.1,-1.2,-20.9,44.529998779296875,-49.4,4.34,-53.74,39.86000061035156,-54.7,-8.64,-46.06,37.66999816894531,-57.19,6.59,-63.78,44.939998626708984,-48.93,4.92,-53.85
3,KRYS,130.22,121.73,89.64,45.3,63.9,triple_bottom_breakout,2021-03-26 13:30:00,2023-01-10 14:30:00,2023-03-10 14:30:00,66.77,69.81,70.51,69.03,3.27,102.99,492,2023-05-22 13:30:00,48,26.44,,6.74,Krystal Biotech,S&P MidCap 400,US,0.5383333333333333,2023-08-01,130.22000122070312,127.5199966430664,-2.07,-1.2,-0.87,116.76000213623047,-10.34,4.34,-14.68,116.37000274658203,-10.64,-8.64,-2.0,111.25,-14.57,6.59,-21.16,124.05999755859375,-4.73,4.92,-9.65
4,RR.L,185.21,154.23,125.63,47.4,70.4,triple_bottom_breakout,2020-05-14 07:00:00,2022-05-11 07:00:00,2022-08-04 07:00:00,80.82,77.86,79.8,79.49,2.05,161.91,562,2023-07-26 07:00:00,4,14.39,,5.84,Rolls-Royce Holdings,STOXX 600,Europe,0.48578333333333334,2023-08-01,185.21177673339844,222.25411987304688,20.0,-1.2,21.2,298.8383483886719,61.35,4.34,57.01,201.95831298828125,9.04,-8.64,17.68,307.0366516113281,65.78,6.59,59.19,299.63818359375,61.78,4.92,56.86
5,CELH,47.48,47.58,36.32,30.7,46.1,triple_bottom_breakout,2021-10-15 13:30:00,2023-02-03 14:30:00,2023-04-10 13:30:00,29.03,30.28,28.08,29.13,3.95,40.75,371,2023-05-10 13:30:00,56,16.52,,7.48,Celsius Holdings,S&P MidCap 400,US,0.4212666666666667,2023-08-01,47.47666549682617,64.66999816894531,36.21,-1.2,37.41,50.290000915527344,5.93,4.34,1.59,53.68000030517578,13.07,-8.64,21.71,49.900001525878906,5.1,6.59,-1.49,54.52000045776367,14.84,4.92,9.92
6,ORCL,113.82,109.87,89.1,27.7,55.1,triple_bottom_breakout,2021-09-14 13:30:00,2022-12-06 14:30:00,2023-03-13 13:30:00,84.73,78.06,82.04,81.61,4.35,106.34,375,2023-06-12 13:30:00,34,7.03,,5.07,Oracle Corporation,S&P 500,US,0.31465,2023-08-01,113.81993865966797,116.91858673095703,2.72,-1.2,3.92,102.5618667602539,-9.89,4.34,-14.23,98.48303985595703,-13.47,-8.64,-4.83,108.63925170898438,-4.55,6.59,-11.14,102.1452407836914,-10.26,4.92,-15.18
1,VRT,39.73,29.99,18.79,111.4,77.9,triple_bottom_breakout,2020-06-26 13:30:00,2022-12-28 14:30:00,2023-04-21 13:30:00,12.09,12.3,11.95,12.11,1.54,28.8,709,2023-08-02 13:30:00,22,37.94,,6.83,Vertiv,S&P 500,US,0.8484333333333334,2023-09-01,39.72588348388672,36.70683670043945,-7.6,-6.23,-1.37,53.29627990722656,34.16,8.85,25.31,44.976829528808594,13.22,2.11,11.11,69.80555725097656,75.72,13.26,62.46,47.882904052734375,20.53,6.15,14.38
2,ANF,54.5,40.4,30.01,81.6,80.3,triple_bottom_breakout,2021-09-08 13:30:00,2022-01-10 14:30:00,2023-07-14 13:30:00,33.02,30.86,33.38,32.42,4.81,48.97,464,2023-08-23 13:30:00,7,11.29,,7.32,Abercrombie & Fitch,S&P MidCap 400,US,0.63835,2023-09-01,54.5,55.4900016784668,1.82,-6.23,8.05,103.80000305175781,90.46,8.85,81.61,77.87999725341797,42.9,2.11,40.79,139.9499969482422,156.79,13.26,143.53,88.22000122070312,61.87,6.15,55.72
3,RR.L,219.05,178.7,139.51,57.0,73.8,triple_bottom_breakout,2020-05-14 07:00:00,2022-05-11 07:00:00,2022-08-04 07:00:00,80.82,77.86,79.8,79.49,2.05,161.91,562,2023-07-26 07:00:00,26,35.3,,5.84,Rolls-Royce Holdings,STOXX 600,Europe,0.6118333333333333,2023-09-01,219.05477905273438,216.55531311035156,-1.14,-6.23,5.09,307.0366516113281,40.16,8.85,31.31,263.34564208984375,20.22,2.11,18.11,369.02386474609375,68.46,13.26,55.2,299.63818359375,36.79,6.15,30.64
