year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2013,2013-09-03,XPO,7.926971912384033,40.31,24.36,15.95,98.08,31.87,66.21,49.48,23.59,25.89,56.76,40.47,16.29,170.2,63.4,106.8,365.49,94.65,270.84
2013,2013-09-03,ALGN,44.369998931884766,24.61,24.36,0.25,30.47,31.87,-1.4,24.18,23.59,0.59,111.31,40.47,70.84,297.52,63.4,234.12,768.45,94.65,673.8
2013,2013-10-01,CELH,0.1500000059604644,17.78,17.0,0.78,213.33,25.52,187.81,362.22,18.0,344.22,362.22,35.71,326.51,1197.78,61.51,1136.27,784.44,90.03,694.41
2013,2013-10-01,ALGN,49.2599983215332,1.64,17.0,-15.36,7.08,25.52,-18.44,12.55,18.0,-5.45,90.32,35.71,54.61,280.06,61.51,218.55,663.64,90.03,573.61
2013,2013-10-01,LYV,19.11000061035156,23.29,17.0,6.29,34.43,25.52,8.91,26.06,18.0,8.06,43.8,35.71,8.09,124.02,61.51,62.51,185.61,90.03,95.58
2013,2013-10-01,CRM,51.73495864868164,7.79,17.0,-9.21,26.7,25.52,1.18,38.53,18.0,20.53,35.53,35.71,-0.18,78.49,61.51,16.98,198.8,90.03,108.77
2013,2013-11-01,ILMN,93.10311126708984,103.04,16.73,86.31,97.0,21.56,75.44,59.71,24.54,35.17,41.74,26.46,15.28,118.18,58.45,59.73,242.81,70.3,172.51
2013,2013-11-01,CRM,53.0423469543457,17.85,16.73,1.12,36.75,21.56,15.19,45.72,24.54,21.18,38.99,26.46,12.53,90.14,58.45,31.69,153.5,70.3,83.2
2013,2013-12-02,ILMN,95.79766845703124,91.07,16.94,74.13,111.17,19.85,91.32,84.4,20.13,64.27,29.69,29.22,0.47,128.72,58.79,69.93,255.66,70.76,184.9
2013,2013-12-02,TCBI,55.14496994018555,-1.48,16.94,-18.42,0.99,19.85,-18.86,3.92,20.13,-16.21,33.65,29.22,4.43,64.17,58.79,5.38,9.25,70.76,-61.51
