year,cohort_date,ticker,entry_price,return_12m,spy_return_12m,alpha_12m,return_18m,spy_return_18m,alpha_18m,return_24m,spy_return_24m,alpha_24m,return_36m,spy_return_36m,alpha_36m,return_48m,spy_return_48m,alpha_48m,return_60m,spy_return_60m,alpha_60m
2013,2013-01-02,AXON,8.9399995803833,72.04,27.77,44.27,47.43,39.72,7.71,196.53,46.29,150.24,88.26,46.11,42.15,174.94,67.22,107.72,199.22,104.71,94.51
2013,2013-01-02,SAM,139.44000244140625,59.29,27.77,31.52,66.59,39.72,26.87,101.0,46.29,54.71,42.89,46.11,-3.22,22.2,67.22,-45.02,34.07,104.71,-70.64
2013,2013-01-02,MTZ,25.57999992370605,26.82,27.77,-0.95,21.81,39.72,-17.91,-15.17,46.29,-61.46,-31.31,46.11,-77.42,41.91,67.22,-25.31,94.88,104.71,-9.83
2013,2013-02-01,BC,29.31777000427246,11.99,17.49,-5.5,12.16,32.0,-19.84,53.71,40.88,12.83,8.69,34.28,-25.59,71.49,63.31,8.18,73.5,101.34,-27.84
2013,2013-02-01,SAM,140.75,46.02,17.49,28.53,57.5,32.0,25.5,124.87,40.88,83.99,28.05,34.28,-6.23,11.05,63.31,-52.26,31.65,101.34,-69.69
2013,2013-02-01,SDLF.L,484.5721130371094,14.85,17.49,-2.64,8.33,32.0,-23.67,31.29,40.88,-9.59,35.36,34.28,1.08,37.15,63.31,-26.16,43.78,101.34,-57.56
2013,2013-02-01,BSX,7.639999866485596,70.29,17.49,52.8,67.67,32.0,35.67,91.75,40.88,50.87,132.07,34.28,97.79,228.53,63.31,165.22,258.51,101.34,157.17
2013,2013-03-01,SAM,155.47000122070312,51.3,24.07,27.23,42.14,35.86,6.28,66.51,44.36,22.15,25.4,38.88,-13.48,3.85,69.86,-66.01,5.84,95.56,-89.72
2013,2013-03-01,NBIX,10.9399995803833,52.38,24.07,28.31,49.09,35.86,13.23,273.49,44.36,229.13,253.29,38.88,214.41,303.84,69.86,233.98,686.65,95.56,591.09
2013,2013-03-01,BC,29.40687370300293,23.78,24.07,-0.29,19.63,35.86,-16.23,53.17,44.36,8.81,25.77,38.88,-13.11,73.15,69.86,3.29,77.48,95.56,-18.08
2013,2013-03-01,SDLF.L,484.5721130371094,17.27,24.07,-6.8,17.32,35.86,-18.54,34.26,44.36,-10.1,33.95,38.88,-4.93,41.39,69.86,-28.47,50.23,95.56,-45.33
2013,2013-03-01,BSX,7.369999885559082,76.39,24.07,52.32,72.05,35.86,36.19,127.41,44.36,83.05,135.69,38.88,96.81,239.21,69.86,169.35,263.23,95.56,167.67
2013,2013-04-01,NBIX,11.800000190734863,36.44,22.26,14.18,36.19,30.36,5.83,236.53,37.6,198.93,235.17,39.91,195.26,254.07,64.18,189.89,563.31,82.31,481.0
2013,2013-04-01,TSLA,2.9286670684814453,374.5,22.26,352.24,458.3,30.36,427.94,329.71,37.6,292.11,423.04,39.91,383.13,532.64,64.18,468.46,474.73,82.31,392.42
2013,2013-04-01,SDLF.L,505.7721557617188,10.41,22.26,-11.85,10.57,30.36,-19.79,26.72,37.6,-10.88,41.01,39.91,1.1,39.17,64.18,-25.01,33.56,82.31,-48.75
2013,2013-05-01,VRTX,76.83000183105469,-10.26,21.38,-31.64,43.06,28.9,14.16,63.48,38.48,25.0,8.03,39.59,-31.56,54.2,63.57,-9.37,94.55,83.74,10.81
2013,2013-05-01,TSLA,3.552000045776367,289.88,21.38,268.5,346.88,28.9,317.98,324.23,38.48,285.75,353.83,39.59,314.24,498.52,63.57,434.95,465.22,83.74,381.48
2013,2013-05-01,NBIX,11.0,21.45,21.38,0.07,65.73,28.9,36.83,222.82,38.48,184.34,324.64,39.59,285.05,389.36,63.57,325.79,628.0,83.74,544.26
2013,2013-06-03,TSLA,6.172667026519775,121.34,19.68,101.66,150.18,28.93,121.25,168.92,34.12,134.8,136.48,36.33,100.15,267.05,61.09,205.96,220.49,84.82,135.67
2013,2013-06-03,VRTX,79.33000183105469,-8.03,19.68,-27.71,47.3,28.93,18.37,59.99,34.12,25.87,20.79,36.33,-15.54,63.75,61.09,2.66,88.64,84.82,3.82
2013,2013-06-03,BYD,12.23399829864502,-18.0,19.68,-37.68,-5.57,28.93,-34.5,12.28,34.12,-21.84,50.34,36.33,14.01,93.13,61.09,32.04,193.53,84.82,108.71
2013,2013-06-03,LOPE,31.96999931335449,36.0,19.68,16.32,43.1,28.93,14.17,33.63,34.12,-0.49,30.47,36.33,-5.86,152.11,61.09,91.02,251.55,84.82,166.73
2013,2013-06-03,SVT.L,2030.609130859375,-3.14,19.68,-22.82,0.41,28.93,-28.52,8.27,34.12,-25.85,12.33,36.33,-24.0,24.29,61.09,-36.8,2.45,84.82,-82.37
2013,2013-07-01,VRTX,80.43000030517578,19.17,24.51,-5.34,48.14,32.53,15.61,56.89,33.7,23.19,6.95,37.9,-30.95,60.23,62.41,-2.18,110.88,86.02,24.86
2013,2013-07-01,PPC,9.797049522399902,80.98,24.51,56.47,119.15,32.53,86.62,81.1,33.7,47.4,120.32,37.9,82.42,89.54,62.41,27.13,68.7,86.02,-17.32
2013,2013-07-01,LOPE,33.459999084472656,40.47,24.51,15.96,39.69,32.53,7.16,27.73,33.7,-5.97,19.31,37.9,-18.59,134.34,62.41,71.93,244.74,86.02,158.72
2013,2013-07-01,BYD,10.684916496276855,6.38,24.51,-18.13,11.97,32.53,-20.56,30.13,33.7,-3.57,60.7,37.9,22.8,117.12,62.41,54.71,203.72,86.02,117.7
2013,2013-07-01,CIEN,19.459999084472656,12.54,24.51,-11.97,0.82,32.53,-31.71,25.33,33.7,-8.37,-3.65,37.9,-41.55,28.57,62.41,-33.84,38.49,86.02,-47.53
2013,2013-08-01,PPC,11.391470909118652,62.0,15.01,46.99,78.46,21.88,56.58,46.7,27.81,18.89,70.08,34.17,35.91,83.09,57.15,25.94,30.36,82.7,-52.34
2013,2013-08-01,XPO,8.691308975219727,21.05,15.01,6.04,45.05,21.88,23.17,76.76,27.81,48.95,14.17,34.17,-20.0,134.62,57.15,77.47,299.6,82.7,216.9
2013,2013-08-01,CIEN,22.520000457763672,-15.19,15.01,-30.2,-17.32,21.88,-39.2,10.83,27.81,-16.98,-16.7,34.17,-50.87,14.61,57.15,-42.54,12.92,82.7,-69.78
2013,2013-08-01,LOPE,34.31999969482422,24.3,15.01,9.29,28.79,21.88,6.91,25.76,27.81,-2.05,21.53,34.17,-12.64,133.13,57.15,75.98,246.33,82.7,163.63
2013,2013-08-01,ALGN,43.9900016784668,21.44,15.01,6.43,25.44,21.88,3.56,42.33,27.81,14.52,105.46,34.17,71.29,281.88,57.15,224.73,736.37,82.7,653.67
2013,2013-08-01,SDLF.L,560.5047607421875,-5.34,15.01,-20.35,13.44,21.88,-8.44,14.96,27.81,-12.85,6.97,34.17,-27.2,21.87,57.15,-35.28,19.57,82.7,-63.13
2013,2013-09-03,CELH,0.1833329945802688,16.36,24.36,-8.0,69.09,31.87,37.22,227.27,23.59,203.68,290.91,40.47,250.44,816.37,63.4,752.97,701.82,94.65,607.17
2013,2013-09-03,PPC,9.982745170593262,94.61,24.36,70.25,106.69,31.87,74.82,55.17,23.59,31.58,95.01,40.47,54.54,150.42,63.4,87.02,57.93,94.65,-36.72
