cohort_date,n_stocks,portfolio_return_1m,spy_return_1m,alpha_1m,pct_winners_1m,portfolio_return_100d,spy_return_100d,alpha_100d,pct_winners_100d,portfolio_return_3m,spy_return_3m,alpha_3m,pct_winners_3m,portfolio_return_6m,spy_return_6m,alpha_6m,pct_winners_6m,portfolio_return_yearend,spy_return_yearend,alpha_yearend,pct_winners_yearend
2013-01-02,3,1.88,3.55,-1.67,66.7,13.75,14.36,-0.61,100.0,1.0,7.18,-6.18,66.7,16.74,11.5,5.24,66.7,59.65,29.0,30.65,100.0
2013-02-01,4,1.67,2.02,-0.35,25.0,7.62,6.92,0.7,50.0,-0.92,7.17,-8.09,75.0,29.18,14.14,15.04,100.0,42.61,24.58,18.03,100.0
2013-03-01,5,3.5,3.56,-0.06,80.0,15.37,11.87,3.5,80.0,7.33,7.93,-0.6,60.0,28.02,8.98,19.04,100.0,28.98,23.87,5.11,80.0
2013-04-01,3,5.24,2.33,2.91,33.3,91.7,6.01,85.69,100.0,51.21,3.34,47.87,66.7,114.22,9.34,104.88,66.7,76.86,20.21,56.65,66.7
2013-05-01,3,35.2,3.27,31.93,100.0,79.44,8.45,70.99,33.3,61.03,7.15,53.88,100.0,68.24,13.08,55.16,33.3,54.65,18.51,36.14,33.3
2013-06-03,5,-0.13,-1.39,1.26,60.0,20.98,7.3,13.68,60.0,12.07,0.1,11.97,40.0,8.06,11.25,-3.19,40.0,12.39,14.14,-1.75,40.0
2013-07-01,5,7.71,4.56,3.15,80.0,2.81,11.14,-8.33,60.0,15.26,4.63,10.63,80.0,10.27,15.1,-4.83,60.0,10.04,15.64,-5.6,60.0
2013-08-01,6,-5.07,-4.11,-0.96,33.3,9.27,8.06,1.21,66.7,7.07,3.8,3.27,66.7,9.75,5.48,4.27,50.0,9.58,9.34,0.24,66.7
2013-09-03,4,0.55,3.42,-2.87,50.0,1.73,9.4,-7.67,75.0,5.15,10.35,-5.2,75.0,14.04,15.39,-1.35,75.0,2.38,13.51,-11.13,75.0
2013-10-01,4,3.72,4.1,-0.38,50.0,9.48,9.75,-0.27,75.0,-0.05,9.66,-9.71,75.0,33.93,12.64,21.29,100.0,-0.05,9.66,-9.71,75.0
2013-11-01,2,-1.34,2.01,-3.35,50.0,25.86,6.31,19.55,100.0,35.68,0.08,35.6,100.0,20.88,7.04,13.84,50.0,8.92,5.38,3.54,100.0
2013-12-02,2,11.42,1.87,9.55,100.0,17.69,4.54,13.15,50.0,47.76,4.56,43.2,100.0,28.51,8.07,20.44,50.0,12.32,2.86,9.46,100.0
